Date,USD,EUR,GBP,NZD,AUD
2004-01-01,,,,,
2004-01-02,,,,,
2004-01-05,,,,,
2004-01-06,,,,,
2004-01-07,,,,,
2004-01-08,,,,,
2004-01-09,,,,,
2004-01-12,,,,,
2004-01-13,,,,,
2004-01-14,,,,,
2004-01-15,,,,,
2004-01-16,,,,,
2004-01-19,,,,,
2004-01-20,,,,,
2004-01-21,,,,,
2004-01-22,,,,,
2004-01-23,,,,,
2004-01-26,,,,,
2004-01-27,,,,,
2004-01-28,,,,,
2004-01-29,,,,,
2004-01-30,,,,,
2004-02-02,,,,,
2004-02-03,,,,,
2004-02-04,,,,,
2004-02-05,-1.3744681002842873,-2.1752015106155653,0.6249007737699097,1.9489845216869695,0.02192114563879244
2004-02-06,-1.6120046234187835,-1.696428218189705,1.1692802363284072,3.0740485661957306,0.2735059627511527
2004-02-09,-1.2063975608769373,-1.0362761598994519,1.5368569914786967,2.772014573100945,0.046881341357907225
2004-02-10,-0.40474427129332247,-0.3412905915152642,2.468624357465554,3.4181410641043186,0.8083957784140061
2004-02-11,-0.5742803646594852,-0.9028351784351241,1.9445565240832074,3.078976258951882,0.8341496336974785
2004-02-12,-0.8004577492920051,0.7006055409068512,3.2960201021253965,3.4518155022826846,1.75973220627883
2004-02-13,-0.8193659296303557,-0.5014437958187012,2.3673808409063968,2.29156765732097,1.032217657674761
2004-02-16,-1.0974563007663307,-2.0004420447868876,0.9343877488319219,1.682149173305758,0.9598151067731875
2004-02-17,-1.0788006963790675,-0.9130331026182548,1.2558477286374714,2.589514221365974,0.918875764288507
2004-02-18,-0.6212312179835977,0.007370418824059755,2.6582478741663307,2.512370488092386,1.7292588440541046
2004-02-19,0.1412443787093487,0.6844715005425384,3.3232323897321336,3.174252508506048,2.2224959631458985
2004-02-20,0.5831478069616702,1.8439725845290855,4.637979829147176,5.115111075160428,3.4940186442508514
2004-02-23,1.997371779453272,2.9529746953903535,5.3243039245574275,4.369102731871433,2.8672636565390874
2004-02-24,0.9697882658003198,2.7710647095230856,5.844494796107691,5.541859308643704,3.5991632191480383
2004-02-25,1.0837033097844229,1.849094138318108,5.0768228003833515,4.674614362479046,2.5928146242906402
2004-02-26,1.9842781909850782,0.7321871054041251,4.203910480629647,4.342730534994987,1.8520745284986262
2004-02-27,3.1741572993336797,0.9405932258075733,4.287831281321064,4.730025155900841,2.301820697206436
2004-03-01,2.3070422468699947,1.9762914666622278,5.100518221381778,4.85559894495986,3.026891834140999
2004-03-02,2.3972881042773286,2.108594919290674,5.429776324850866,5.501483433738175,2.8492462813115127
2004-03-03,4.269622506389448,0.7044382675420069,4.95594251937248,4.021516458980257,1.6990945313703376
2004-03-04,3.759545459740976,1.6665497300034637,4.501790505117498,2.899543657011927,0.9676640389925328
2004-03-05,5.002827355318051,3.2331685801966437,5.375064645804439,4.4440384271679845,3.4654111351356764
2004-03-08,6.086709903754373,5.15331574681388,7.346678426769326,6.331677491262422,5.152204917829195
2004-03-09,5.47607637345362,5.435283793950729,6.70185645840522,5.289617957695425,5.405308865563807
2004-03-10,5.649823874458182,3.764738262394429,6.3935186639665575,5.57479668812737,5.280768934429614
2004-03-11,5.1478954610962635,2.5865966853506617,3.4518440803312345,1.9479282666944098,3.5549787619537643
2004-03-12,4.953123911660584,3.0896806313528202,3.508592506793695,-1.1727802015141564,1.1712549449822696
2004-03-15,4.865580669581204,1.2266263478549755,2.2832284999427355,-2.039780012695369,0.09247693979788085
2004-03-16,4.281257805330085,0.76682454074819,1.1486630276167586,-3.127210194526142,-1.1511446180549445
2004-03-17,2.8974505642544557,-0.5376754544192841,-0.09131122171256445,-3.7429528535877,-2.077233150985114
2004-03-18,2.781469913647472,-2.0205726557667614,-1.31948865451047,-4.352849976321071,-3.333172325183098
2004-03-19,1.4053778285486374,-2.008442601482885,-1.6905764919726507,-4.377092741785682,-3.3694694945405557
2004-03-22,1.3941589403130283,-2.2200669167775855,-1.3684852565286287,-5.356270600773061,-4.1911957522786984
2004-03-23,1.2233294953630791,-2.095568975800466,-0.9992419258669116,-5.030809832497618,-3.725890217886074
2004-03-24,1.0797493558227345,-3.003977036546046,-1.9346167802629988,-5.436830367011691,-4.572538072937061
2004-03-25,0.06582011831552936,-4.551838896595517,-3.454959644918354,-6.914937779325758,-5.84338571679538
2004-03-26,-0.757438909197794,-5.615015221318997,-5.535584991002929,-8.645262955280463,-7.232059164580273
2004-03-29,-3.217799124776477,-6.21460947398308,-5.574518659807781,-7.756230088238302,-6.418740340442575
2004-03-30,-2.6043588166011378,-5.745358378628951,-5.146071851708312,-7.350399687176711,-5.913525091476068
2004-03-31,-2.1903837190690667,-6.015311970211812,-5.428141134206543,-6.806642652538564,-5.397479873714872
2004-04-01,-4.368577621352765,-5.785601909387661,-5.823531805300242,-6.994121532115393,-5.175892273746374
2004-04-02,-5.313127301607712,-5.906514189980383,-5.6355974407467535,-7.934927308967509,-5.770213659923495
2004-04-05,-4.537535167670448,-7.751942136674506,-6.83430408024236,-9.060400195457197,-6.933975224445343
2004-04-06,-3.5347030286847714,-6.917912461656083,-5.813554234461971,-8.838972275153278,-5.862307496334285
2004-04-07,-3.9949169695496223,-4.539370354120164,-3.7340771345855006,-6.806551709047692,-3.6308353574643903
2004-04-08,-4.440609578354038,-4.634534340914376,-3.8010504349012764,-5.654737312405301,-2.2649481477916344
2004-04-09,-4.332973559319031,-5.283712844651022,-3.9021278674587823,-5.408138865591305,-2.874967361280756
2004-04-12,-5.175339580219229,-7.232049117110295,-5.761236597671992,-7.263055048362499,-4.554822951576787
2004-04-13,-5.371421232893125,-8.076059841019989,-6.091763509927173,-8.284963760402775,-4.622511215482916
2004-04-14,-4.154326944995946,-7.147018760885326,-5.810455016543559,-7.912034605339602,-4.959182996592459
2004-04-15,-2.0376900744820348,-4.312891573163835,-2.7613752787458146,-5.915132925933531,-3.993265326697981
2004-04-16,-2.3732153588345573,-5.197368751272258,-3.3946451013780465,-3.456661864992039,-1.4609323118971007
2004-04-19,-2.7170989072018203,-4.278109533620411,-2.73389116637458,-3.1409268202229446,-1.0643914233996021
2004-04-20,-1.9485172809871498,-4.181753532970367,-2.6179546750850213,-3.1412115277790864,-1.1916367719658871
2004-04-21,0.23925843435299576,-3.1233603017159384,-1.304969682319046,-3.1286240164752566,-0.9266745821086664
2004-04-22,0.9882698143528046,-2.409731321758257,-1.6116722403771822,-3.4387705407818214,-0.602547014618815
2004-04-23,2.462774820554925,-1.338681179942225,-0.9032016438411672,-2.2119176822859354,0.01244661376571532
2004-04-26,2.104573868607429,-1.8895205543154714,-1.3721624539595911,-2.611927655146362,-0.2727859151812839
2004-04-27,1.7425526021889848,-2.2087314323410823,-1.7447770224744308,-3.063064134236182,-0.783968701633897
2004-04-28,2.6518007858733705,-0.8425691240836919,-0.7941763897160614,-2.032805940394744,0.262468636345603
2004-04-29,3.4016188769662836,0.8515956639380651,0.29349263463518405,-1.0781422139954477,0.3334806239016386
2004-04-30,3.5899418511155856,2.1124583230381466,1.610967299526056,-0.4792180842900673,0.6978563796267379
2004-05-03,4.863686624729513,3.82684863698457,2.891568595572691,1.4985756004662676,1.7957412665235095
2004-05-04,4.475631767190169,2.4865559344846133,1.6885502146791076,0.36578175551893466,0.6710124035244958
2004-05-05,3.477275103000088,2.847178899544134,1.716741990121995,-0.42845620516142047,0.2119611096194296
2004-05-06,4.452974592651082,3.093816813681549,1.4366072432707933,-0.5144663792756576,-0.16419668795266684
2004-05-07,5.823371427344082,3.3452847024102006,2.4252171936823386,-0.1804611186915106,-0.20370250455078454
2004-05-10,7.777989746105396,5.811005126464441,5.282502325995808,1.3209930258111457,0.5277358439310653
2004-05-11,8.24212780742586,6.734813161440134,5.45236186401481,0.6623915104648326,-0.15406387672731725
2004-05-12,6.799699817158622,4.661674294078777,1.9907670622469231,-0.8994472933827491,-2.0885799759948753
2004-05-13,7.38382247951761,5.156651757386577,3.4605634663088303,-0.3172679592259753,-2.1089148272739555
2004-05-14,7.677126770830367,5.205012452302182,3.552360400685761,-1.910071388475687,-2.743002452107035
2004-05-17,7.6221006487103615,5.804097708486733,3.190071472457534,-1.5549606900826518,-2.584060593245341
2004-05-18,8.618891279134822,8.172093314084417,4.65861197186872,-1.570200631063634,-3.105100679981676
2004-05-19,6.796482079172139,6.888975276211617,3.7590129590493238,-1.9329091859284109,-2.5431061296886104
2004-05-20,3.874826530462494,4.345480916402078,3.410839313447145,-0.718561640740667,-1.7033222035499507
2004-05-21,4.177832092678213,3.9401654053173862,3.307535377281434,-0.771676753587125,-2.2164073284011154
2004-05-24,4.2590740561004425,4.075645430272523,3.749357659259167,-0.7277033702427271,-2.1267855699188876
2004-05-25,4.547553431852358,4.641841436606309,4.499484563152589,-0.37932682605367196,-1.765401890823759
2004-05-26,2.6347220586996123,4.843834812934089,4.2496321310524054,0.7128339079051971,-0.9779102543061469
2004-05-27,2.323029998718895,4.845571939419346,4.898716162796268,2.3285577513453948,-0.6287880296730219
