Date,MAX—ñ_x,MIN—ñ_x,MAX—ñ_y,MIN—ñ_y,MAX—ñ,MIN—ñ,BuyFlg,SellFlg,USD,EUR,GBP,NZD,AUD,Œ‹‰Ê
2004-01-01,,,,,,,0,0,0.3459586322018149,-0.1257754989192672,-0.23954145602365084,-0.30377005617184816,0.0,0.0
2004-01-02,USD,NZD,,,,,0,0,-0.3633986123345534,0.08148796642366563,0.19835548859186147,0.7261465328637584,0.9560071018050564,0.0
2004-01-05,AUD,USD,,,,,0,0,-0.6452842415009763,-0.23686699464214866,0.03125686874063671,0.6163219852064694,0.5674797660093045,0.0
2004-01-06,NZD,USD,,,,,0,0,-0.018822141818986005,0.25968697632114957,0.7030915796768955,0.06462245757417051,0.14720651560802267,0.0
2004-01-07,GBP,USD,,,,,0,0,-0.028242119141519417,-0.7104319390054958,-0.2068648609959478,-0.10389259269057982,-0.18373533439531853,0.0
2004-01-08,USD,EUR,,,,,0,0,-0.009419094077134371,1.0732670947740663,0.9172828317199011,1.013338760510507,0.9326324164359301,0.0
2004-01-09,EUR,USD,,,,,0,0,0.40497297413817357,1.0028763396729534,1.1246353871801285,1.2410928742250693,0.4498513636255641,0.0
2004-01-12,NZD,USD,,,,,0,0,-0.009381986842893486,-0.8469034473032044,-0.12187969500088158,-0.4370303910227191,0.10892802577926464,0.0
2004-01-13,AUD,EUR,,,,,0,0,-0.33771164681485333,0.0,-0.1576151973448403,0.37821560669621945,0.12090252113166056,0.0
2004-01-14,NZD,USD,,,,,0,0,-0.03765146492061833,-1.0308474498575526,-0.8555241215841947,-0.793459116224049,-0.676243901827811,0.0
2004-01-15,USD,EUR,AUD,USD,,,0,0,0.11299693976498659,-0.3422414264816154,-0.328727403370932,-0.8995945082909351,-0.37689672777355687,0.0
2004-01-16,USD,NZD,AUD,USD,,,0,0,0.3009778929107698,-1.4035010577490792,-1.0821984387990424,-0.8210557363879656,-0.5972696563513735,0.0
2004-01-19,USD,EUR,AUD,EUR,,,0,0,0.5626392325160934,0.2801507508659373,-0.43240523274323817,-1.0323305919718306,-0.7005502958862597,0.0
2004-01-20,USD,NZD,USD,EUR,,,0,0,-0.18649473351934898,1.6762316368011954,1.8260807776936838,1.6031349498770275,1.5702328333193183,0.0
2004-01-21,GBP,USD,USD,EUR,,,0,0,-0.18685031383226525,0.4084383163525551,0.5960658026161525,0.5694224580688356,0.5599501837230569,0.0
2004-01-22,GBP,USD,GBP,USD,,,0,0,-0.6271042604928501,-0.14052394939106927,-0.05108346597185731,0.18547346538848597,-0.13315653012812012,0.0
2004-01-23,NZD,USD,GBP,EUR,,,0,0,0.43326654648772056,-0.6887927011864248,-0.6030524284885153,-0.3215456621496804,-0.5884713837594702,0.0
2004-01-26,USD,EUR,USD,EUR,,,0,0,-0.2438286725432781,-0.9695004006726626,-0.7609702013094632,-0.6982459893686288,-0.2737444750165685,0.0
2004-01-27,USD,EUR,USD,EUR,,,0,0,-0.695690019795403,0.48950161016485527,-0.056992183556414666,0.6426853820083345,0.5257370098575853,0.0
2004-01-28,NZD,USD,USD,GBP,,,0,0,0.4733503862548005,-1.0716486124153324,-0.16070376796388786,-0.19562549412761587,-0.7054266874769177,0.0
2004-01-29,USD,EUR,USD,EUR,,,0,0,-0.17902083946921277,-0.4242084553414238,-0.11423294298066322,-0.7294416533198955,-1.1722204061447083,0.0
2004-01-30,GBP,AUD,USD,EUR,,,0,0,-0.283182032135354,0.23582926267835536,0.19234308123321497,0.25809356165995556,0.12146248204065735,0.0
2004-02-02,NZD,USD,GBP,USD,,,0,0,-0.08519153579192862,-0.44019570069471214,0.2542234203642746,1.03113330110014,-0.5830587411730148,0.0
2004-02-03,NZD,AUD,NZD,USD,,,0,0,-0.05685001066163542,0.8385471603389538,0.28980881383622314,-0.2701200848857832,0.1182931435576462,0.0
2004-02-04,EUR,NZD,NZD,AUD,,,0,0,-0.00947436443106131,-0.045356485596781404,-0.2889713493962054,0.2708517097540719,-0.11815337621469135,0.0
2004-02-05,NZD,GBP,NZD,AUD,,,0,0,0.10427851484307027,0.3630280767717098,0.30016138481547827,0.7964335820411117,0.251529678925122,0.0
2004-02-06,NZD,USD,NZD,AUD,,,0,0,0.04735586086943577,0.7535795199679063,0.5624045981224901,0.4309925084554411,0.7278399836101457,0.0
2004-02-09,EUR,USD,NZD,AUD,,,0,0,0.160922160097976,0.463732528144023,0.9492078817089133,1.2488956613381674,1.3329567775201445,0.0
2004-02-10,AUD,USD,NZD,USD,,,0,0,-0.1890151713985544,-0.30524392477117024,0.18805342677890025,-0.26354432080022416,0.17279145467714585,0.0
2004-02-11,GBP,EUR,NZD,USD,,,0,0,-0.25566165221143633,0.8961219590958303,1.1160776489078872,0.2574341341471609,0.7325038104804227,0.0
2004-02-12,GBP,USD,GBP,USD,,,0,0,-0.02847805234457157,-0.13323065188153294,0.010028603721323748,-0.11956072549883512,0.21103108239339807,0.0
2004-02-13,AUD,EUR,NZD,USD,,,0,0,0.12344970641573472,-0.5187852858809405,-0.29096109246011803,0.6379327628643461,0.3778661529173055,0.0
2004-02-16,NZD,EUR,NZD,USD,,,0,0,0.00947885679487559,0.2533052279684478,0.19621624090708778,0.45142406670408697,0.06833371916441511,0.0
2004-02-17,NZD,USD,AUD,USD,,,0,0,0.12328580993350435,0.9288845448216287,1.22520839376703,0.30273469278399023,0.9248778401145019,0.0
2004-02-18,GBP,USD,AUD,USD,,,0,0,0.7293016004096264,-0.36077563447214356,-0.21330060201029122,-0.15292153616652815,-0.19466992918796278,0.0
