BuyFlg,結果_Buy,SellFlg,結果_Sell,シミュレーションステータス
AUD,-3.0464478552380214,AUD,-4.639754674269124,1_5_25
EUR,-11.116889255914753,EUR,0.41429217796845563,1_5_25
GBP,11.813101824008532,GBP,8.83682196134491,1_5_25
NZD,4.380896104625464,NZD,-1.4245896161276028,1_5_25
USD,-29.684744815023777,USD,-0.12938291744496455,1_5_25
