Date,MAX—ñ_x,MIN—ñ_x,MAX—ñ_y,MIN—ñ_y,MAX—ñ,MIN—ñ,BuyFlg,SellFlg,USD•Ï“®—¦,EUR•Ï“®—¦,GBP•Ï“®—¦,NZD•Ï“®—¦,AUD•Ï“®—¦,USD,EUR,GBP,NZD,AUD,Œ‹‰Ê_Buy,Œ‹‰Ê_Sell
2004-01-01,,,,,,,0,0,,,,,,0.3459586322018149,-0.1257754989192672,-0.23954145602365084,-0.30377005617184816,0.0,0.0,0.0
2004-01-02,USD,NZD,,,,,0,0,0.3459586322018149,-0.1257754989192672,-0.2395414560236508,-0.3037700561718481,0.0,-0.3633986123345534,0.08148796642366563,0.19835548859186147,0.7261465328637584,0.9560071018050564,0.0,0.0
2004-01-05,AUD,USD,,,,,0,0,-0.3633986123345534,0.0814879664236656,0.1983554885918614,0.7261465328637584,0.9560071018050564,-0.6452842415009985,-0.23686699464214866,0.03125686874063671,0.6163219852064694,0.5674797660093045,0.0,0.0
2004-01-06,NZD,USD,,,,,0,0,-0.6452842415009985,-0.2368669946421486,0.0312568687406367,0.6163219852064694,0.5674797660093045,-0.018822141818974902,0.25968697632114957,0.7030915796768955,0.06462245757417051,0.14720651560802267,0.0,0.0
2004-01-07,GBP,USD,,,,,0,0,-0.0188221418189749,0.2596869763211495,0.7030915796768955,0.0646224575741705,0.1472065156080226,-0.02824211914153052,-0.7104319390054958,-0.20686486099597,-0.10389259269057982,-0.18373533439531853,0.0,0.0
2004-01-08,USD,EUR,AUD,EUR,,,0,0,-0.0282421191415305,-0.7104319390054958,-0.20686486099597,-0.1038925926905798,-0.1837353343953185,-0.009419094077123269,1.0732670947740663,0.9172828317198789,1.013338760510507,0.9326324164359301,0.0,0.0
2004-01-09,EUR,USD,AUD,USD,,,0,0,-0.0094190940771232,1.0732670947740663,0.9172828317198788,1.013338760510507,0.93263241643593,0.40497297413817357,1.0028763396729534,1.1246353871801507,1.2410928742250693,0.4498513636255641,0.0,0.0
2004-01-12,NZD,USD,NZD,USD,,,0,0,0.4049729741381735,1.0028763396729534,1.1246353871801509,1.2410928742250693,0.4498513636255641,-0.009381986842893486,-0.8469034473032044,-0.12187969500088158,-0.4370303910227191,0.10892802577926464,0.0,0.0
2004-01-13,AUD,EUR,GBP,USD,,,0,0,-0.0093819868428934,-0.8469034473032044,-0.1218796950008815,-0.4370303910227191,0.1089280257792646,-0.33771164681486443,0.0,-0.1576151973448403,0.37821560669621945,0.12090252113166056,0.0,0.0
2004-01-14,NZD,USD,NZD,USD,,,0,0,-0.3377116468148644,0.0,-0.1576151973448403,0.3782156066962194,0.1209025211316605,-0.03765146492059612,-1.0308474498575526,-0.8555241215841947,-0.793459116224049,-0.676243901827811,0.0,0.0
2004-01-15,USD,EUR,NZD,USD,,,0,0,-0.0376514649205961,-1.0308474498575526,-0.8555241215841947,-0.793459116224049,-0.676243901827811,0.11299693976498659,-0.3422414264816154,-0.328727403370932,-0.8995945082909351,-0.37689672777355687,0.0,0.0
2004-01-16,USD,NZD,USD,EUR,,,0,0,0.1129969397649865,-0.3422414264816154,-0.328727403370932,-0.8995945082909351,-0.3768967277735568,0.3009778929107698,-1.4035010577490792,-1.0821984387990424,-0.8210557363879656,-0.5972696563513735,0.0,0.0
2004-01-19,USD,EUR,USD,EUR,,,0,0,0.3009778929107698,-1.4035010577490792,-1.0821984387990424,-0.8210557363879656,-0.5972696563513735,0.5626392325160934,0.2801507508659373,-0.43240523274323817,-1.0323305919718306,-0.7005502958862597,0.0,0.0
2004-01-20,USD,NZD,USD,NZD,,,0,0,0.5626392325160934,0.2801507508659373,-0.4324052327432381,-1.0323305919718306,-0.7005502958862597,-0.18649473351932677,1.6762316368011954,1.826080777693706,1.6031349498770275,1.5702328333193183,0.0,0.0
2004-01-21,GBP,USD,USD,NZD,,,0,0,-0.1864947335193267,1.6762316368011954,1.826080777693706,1.6031349498770275,1.5702328333193185,-0.18685031383226525,0.4084383163525551,0.5960658026161081,0.5694224580688356,0.5599501837230569,0.0,0.0
2004-01-22,GBP,USD,USD,NZD,,,0,0,-0.1868503138322652,0.4084383163525551,0.5960658026161081,0.5694224580688356,0.5599501837230569,-0.6271042604928279,-0.14052394939106927,-0.05108346597184621,0.18547346538848597,-0.13315653012812012,0.0,0.0
2004-01-23,NZD,USD,GBP,USD,,,0,0,-0.6271042604928279,-0.1405239493910692,-0.0510834659718462,0.1854734653884859,-0.1331565301281201,0.43326654648767615,-0.6887927011864248,-0.603052428488493,-0.3215456621496804,-0.5884713837594702,0.0,0.0
2004-01-26,USD,EUR,EUR,USD,,,0,0,0.4332665464876761,-0.6887927011864248,-0.603052428488493,-0.3215456621496804,-0.5884713837594702,-0.2438286725432448,-0.9695004006726626,-0.7609702013094632,-0.6982459893686288,-0.2737444750165685,0.0,0.0
2004-01-27,USD,EUR,NZD,USD,,,0,0,-0.2438286725432448,-0.9695004006726626,-0.7609702013094632,-0.6982459893686288,-0.2737444750165685,-0.6956900197954252,0.48950161016485527,-0.056992183556414666,0.6426853820083345,0.5257370098575853,0.0,0.0
2004-01-28,NZD,USD,NZD,USD,,,0,0,-0.6956900197954252,0.4895016101648552,-0.0569921835564146,0.6426853820083345,0.5257370098575853,0.4733503862548005,-1.0716486124153324,-0.16070376796388786,-0.19562549412761587,-0.7054266874769177,0.0,0.0
